0,1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,-6.93200115143833e-310
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
50.7,1,0
103.69,1,0
64.02,1,0
49,1,0
60,1,0
33.25,-1,0
68.4,1,0
33.25,1,-17.45
133,1,0
14.76,1,0
42.53,1,0
127.95,1,0
14.86,1,0
21,1,0
58.63,1,0
19.81,-1,0
87.02,1,0
31.74,1,0
19.81,1,-48.59
31.78,1,0
12.06,1,0
77,1,0
88.4,1,0
22.9,-1,0
25,1,0
22.9,-1,-64.12
45,-1,0
51.45,1,0
32.9,1,0
16.75,1,0
22.9,1,-2.1
12.9,1,0
33.2,1,0
20,1,0
7.5,-1,0
127.76,-1,0
69.13,1,0
7.5,1,-43.95
29.7,1,0
60,1,0
15.06,-1,0
118.87,-1,0
137.74,1,0
15.06,1,-54.07
30.9,1,0
43.2,1,0
77.21,1,0
86.5,1,0
98.92,1,0
39.5,1,0
16.6,1,0
117.14,1,0
86.5,1,0
26.84,1,0
66,1,0
14.95,-1,0
68.79,-1,0
64,1,0
14.95,-1,-122.79
55.58,1,0
80.03,1,0
14.95,1,-49.05
81.08,1,0
26.25,1,0
45.73,1,0
68.09,1,0
65.54,1,0
11,1,0
32.04,1,0
109.75,-1,0
21.83,1,0
22.5,1,0
109.75,1,54.17
70.31,1,0
29,1,0
140.7,1,0
24,-1,0
28.9,1,0
24,1,2.17
24.57,1,0
37.5,1,0
31.1,1,0
8.5,1,0
81.37,1,0
23.14,1,0
56.11,1,0
25.18,1,0
17.98,1,0
17.75,1,0
51.59,1,0
31.75,1,0
68.75,1,0
16.99,1,0
43.8,1,0
86.75,1,0
64.05,1,0
37.25,1,0
22.25,1,0
3.17,1,0
79.22,1,0
2.99,1,0
60.42,1,0
32,1,0
31.73,-1,0
49.5,-1,0
60.92,1,0
31.73,1,2.83
43.9,1,0
28.3,1,0
23.75,1,0
37.25,1,0
49,1,0
14.54,-1,0
35.84,-1,0
14.54,1,-46.38
51.1,1,0
63,1,0
127.84,1,0
40.4,-1,0
64.75,1,0
13,1,0
40.4,1,25.86
380.75,-1,0
47,1,0
70,1,0
15.06,-1,0
380.75,1,316
45.75,1,0
69.24,1,0
12.63,1,0
15.06,1,-31.94
21.46,1,0
24.7,1,0
33.81,1,0
14.46,1,0
37.7,1,0
109.05,1,0
57.41,1,0
59.39,1,0
61.09,1,0
9.81,1,0
42,1,0
50.03,1,0
49.6,-1,0
40.6,1,0
19.4,1,0
49.6,1,-331.15
75.5,1,0
59.21,1,0
43.15,1,0
0,-1,0
75.84,1,0
83.2,1,0
0,-1,-40.6
67.25,1,0
35.98,1,0
54.49,1,0
0,1,-75.84
7.54,1,0
52,1,0
58.88,1,0
14.75,-1,0
44.85,1,0
4.8,1,0
14.75,1,-52.5
21.8,1,0
77.84,1,0
7.8,1,0
75.98,1,0
41.56,1,0
