0,-1,-6.93200115143833e-310
33.25,-1,-17.45
19.81,-1,-48.59
22.9,-1,-64.12
22.9,-1,-2.1
7.5,-1,-43.95
15.06,-1,-54.07
14.95,-1,-122.79
14.95,-1,-49.05
109.75,-1,54.17
24,-1,2.17
31.73,-1,2.83
14.54,-1,-46.38
40.4,-1,25.86
380.75,-1,316
15.06,-1,-31.94
49.6,-1,-331.15
0,-1,-40.6
0,-1,-75.84
14.75,-1,-52.5
15.87,-1,-28.98
21.04,-1,-11.86
81.8,-1,60.76
18,-1,-11.25
30,-1,-21.8
83.41,-1,5.11
97,-1,25.2
45.25,-1,1.5
45,-1,-33.91
21.5,-1,-1.05
131.75,-1,110.25
44.57,-1,-6.33
36.5,-1,-32.6
12.7,-1,-16.6
43.5,-1,30.8
46.1,-1,-20.4
105.56,-1,42.9
381,-1,371.61
49,-1,-9.93
67.98,-1,34.48
41.97,-1,8.87
42.36,-1,-25.62
42.36,-1,-7.55
42.36,-1,1.86
12.49,-1,-116.62
37.5,-1,-30.35
55.75,-1,-15.86
27.71,-1,-79.17
27.71,-1,-17.29
52.04,-1,6.54
24,-1,-14.23
20.5,-1,11.3
0,-1,-29.25
0,-1,-26.35
0,-1,-18.86
0,-1,-21.57
0,-1,-19.11
0,-1,-208.4
0,-1,0
0,-1,-14.9
0,-1,-35.89
0,-1,0
0,-1,-26.25
0,-1,-41.07
0,-1,-16.42
0,-1,-38.11
0,-1,-13.81
0,-1,-13.24
0,-1,-32.53
0,-1,0
0,-1,-7.72
0,-1,-25.56
0,-1,-46.8
0,-1,-24.21
0,-1,0
0,-1,-38.28
0,-1,-53.82
41.07,-1,27.36
0,-1,-41.07
0,-1,-21.22
0,-1,-21.45
0,-1,0
0,-1,-24.54
0,-1,0
0,-1,-32.06
0,-1,-7.06
0,-1,-2.15
0,-1,0
0,-1,-35.31
0,-1,-60.16
0,-1,-8.27
0,-1,-42.66
0,-1,-53.21
0,-1,-23.84
0,-1,-51.22
0,-1,0
0,-1,-27.6
0,-1,-8.25
0,-1,-52.23
0,-1,-22.14
0,-1,-53.21
0,-1,-16.95
0,-1,-9.2
0,-1,-14.82
0,-1,-19.5
0,-1,-9.6
